"latitude","longitude","genus","species","dbh","year_min","year_max","crown","height","common","location","ref","maintenance","maturity","planted","updated","health","structure","description","family","address","significance","age"
"-37.803602553"," 145.00292521","Ulmus","U. minor 'Atinia'",125,NA,NA,NA,27,"English Elm","other",75,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Size, Particularly Old","100+ years"
"-37.785634654"," 144.96857418","Quercus","Q. robur",174,NA,NA,NA,16,"English Oak","other",76,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Historic Value, Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.802641894"," 145.00237965","Quercus","Q. ilex",121,NA,NA,NA,20,"Holm Oak","other",77,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Location of Landscape Context, Particularly Old, Outstanding Size, Rare or Localised","100+ years"
"-37.802198427"," 145.00372504","Eucalyptus","E. camaldulensis",122,NA,NA,NA,22,"River Red Gum","other",78,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Location of Landscape Context, Outstanding Size, Remnant, Particularly Old","100+ years"
"-37.801755143"," 145.00493128","Quercus","Q. robur",140,NA,NA,NA,22,"English Oak","park",79,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"18 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Example of the Species, Outstanding Size, Particularly Old, Aesthetic Value","100+ years"
"-37.791988768"," 144.99293451","Grevillea","G. robusta",80,NA,NA,NA,20,"Silky Oak","residential",81,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"227 MOOR STREET, FITZROY, 3065","Location of Landscape Context","61-80 years"
"-37.802060396"," 144.98325208","Cupressus","C. macrocarpa",96,NA,NA,NA,20,"Monterey Cypress","residential",82,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"227 MOOR STREET, FITZROY, 3065","Outstanding Size, Location of Landscape Context","61-80 years"
"-37.802060396"," 144.98325208","Corymbia","C. citriodora",78,NA,NA,NA,22,"Lemon-scented Gum","residential",83,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"133 MOOR STREET, FITZROY, 3065","Location of Landscape Context","61-80 years"
"-37.809077914"," 144.98486079","Schinus","S. molle",85,NA,NA,NA,17,"Peppercorn Tree","other",86,NA,"Mature",NA,"2012-09-19",NA,NA,NA,NA,"0 BYRON STREET, CREMORNE, 3121","Particularly Old, Location of Landscape Context, Outstanding Size","100+ years"
"-37.793262241"," 144.99400622","Eucalyptus","E. mannifera",79,NA,NA,NA,16,"Brittle Gum","residential",87,NA,"Mature",NA,"2012-09-19",NA,NA,NA,NA,"1 BENSON STREET, RICHMOND, 3121","Location of Landscape Context","61-80 years"
"-37.800870806"," 144.98661316","Phoenix","P. canariensis",76,NA,NA,NA,17,"Canary Island Date Palm","other",91,NA,"Mature",NA,"2012-09-19",NA,NA,NA,NA,"32 OTTER STREET, COLLINGWOOD, 3066","Outstanding Size, Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.801147454"," 144.98553322","Corymbia","C. citriodora",56,NA,NA,NA,13,"Lemon-scented Gum","residential",92,NA,"Mature",NA,"2012-09-19",NA,NA,NA,NA,"21 OTTER STREET, COLLINGWOOD, 3066","Aesthetic Value, Location of Landscape Context","41-60 years"
"-37.801147454"," 144.98553322","Corymbia","C. maculata",49,NA,NA,NA,17,"Spotted Gum","other",93,NA,"Mature",NA,"2012-09-19",NA,NA,NA,NA,"13 PERRY STREET, COLLINGWOOD, 3066","Location of Landscape Context","41-60 years"
"-37.800672041"," 144.9855938","Platanus","P. x acerifolia",75,NA,NA,NA,17,"London Plane","street",94,NA,"Mature",NA,"2012-09-19",NA,NA,NA,NA,"53 CAMBRIDGE STREET, COLLINGWOOD, 3066","Aesthetic Value, Location of Landscape Context, Environmental Value","100+ years"
"-37.794810058"," 144.98996376","Schinus","S. molle",100,NA,NA,NA,13,"Peppercorn Tree","residential",95,NA,"Mature",NA,"2012-09-19",NA,NA,NA,NA,"116 GOLD STREET, COLLINGWOOD, 3066","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.779714926"," 144.98504922","Corymbia","C. citriodora",64,NA,NA,NA,19,"Lemon-scented Gum","residential",96,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"81 ALFRED CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context","61-80 years"
"-37.779714926"," 144.98504922","Phoenix","P. canariensis",90,NA,NA,NA,10,"Canary Island Date Palm","residential",97,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"155 HOLDEN STREET, FITZROY NORTH, 3068","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.780040941"," 144.98480329","Phoenix","P. canariensis",74,NA,NA,NA,12,"Canary Island Date Palm","park",98,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"1 BYRNE STREET, FITZROY NORTH, 3068","Particularly Old, Location of Landscape Context","100+ years"
"-37.779966465"," 144.98774053","Erythrina","E. crista-galli",100,NA,NA,NA,11,"Cockspur Coral","residential",99,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"193 HOLDEN STREET, FITZROY NORTH, 3068","Rare or Localised, Outstanding Size, Aesthetic Value, Location of Landscape Context","100+ years"
"-37.782889183"," 144.9915331","Phoenix","P. canariensis",74,NA,NA,NA,13,"Canary Island Date Palm","park",100,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 RUSHALL CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.786359569"," 144.98557045","Erythrina","E. crista-galli",84,NA,NA,NA,7,"Cockspur Coral","residential",101,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"39 ALFRED CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Particularly Old, Location of Landscape Context","81-100 years"
"-37.785741897"," 144.98417445","Eucalyptus","E. botryoides",138,NA,NA,NA,25,"Southern Mahogany","park",102,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Location of Landscape Context","100+ years"
"-37.78570082"," 144.98315871","Eucalyptus","E. camaldulensis",116,NA,NA,NA,26,"River Red Gum","park",103,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old","100+ years"
"-37.78570082"," 144.98315871","Eucalyptus","E. camaldulensis",138,NA,NA,NA,28,"River Red Gum","park",104,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old","100+ years"
"-37.786628823"," 144.98230564","Ulmus","U. x hollandica",92,NA,NA,NA,22,"Dutch Elm","park",106,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Outstanding Size, Location of Landscape Context, Environmental Value","81-100 years"
"-37.786079094"," 144.98473411","Ulmus","U. x hollandica",100,NA,NA,NA,22,"Dutch Elm","park",107,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Outstanding Size, Location of Landscape Context, Environmental Value","81-100 years"
"-37.786079094"," 144.98473411","Ulmus","U. x hollandica",88,NA,NA,NA,17,"Dutch Elm","park",109,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Outstanding Size, Location of Landscape Context, Environmental Value","100+ years"
